Ebond Strain Seed NLC DeltaPhi tau
3.0 100 0 94.144 0.08895796561553593 87393600.0
3.0 100 1 94.144 0.0906516459816269 87393600.0
3.0 100 2 94.144 0.0943602533056156 87393600.0
3.0 100 3 94.144 0.09416814698896536 87393600.0
3.0 100 4 94.144 0.09402621091501862 87393600.0
3.0 150 0 86.336 0.13551317508844768 91555200.0
3.0 150 1 86.336 0.13008290436554032 95716800.0
3.0 150 2 86.336 0.1341068973184824 95716800.0
3.0 150 3 86.336 0.1369540430830385 99878400.0
3.0 150 4 86.336 0.1388141339853815 99878400.0
3.0 200 0 97.536 0.16461820032671465 79070400.0
3.0 200 1 97.536 0.16383235326993922 79070400.0
3.0 200 2 97.536 0.165471224346325 79070400.0
3.0 200 3 97.536 0.1621906554954916 79070400.0
3.0 200 4 97.536 0.16051047781500827 79070400.0
4.0 100 0 28.384 0.10012183930455831 191433600.0
4.0 100 1 28.384 0.1076037359279306 124848000.0
4.0 100 2 28.384 0.1095952595695146 124848000.0
4.0 100 3 28.384 0.1141308287199142 124848000.0
4.0 100 4 28.384 0.11423859077023901 133171200.0
4.0 150 0 51.776 0.16156671120198507 145656000.0
4.0 150 1 51.776 0.16146104658453886 212241600.0
4.0 150 2 51.776 0.15871443766703025 195595200.0
4.0 150 3 51.776 0.16083871478107153 203918400.0
4.0 150 4 51.776 0.15762256310268047 195595200.0
4.0 200 0 68.128 0.17582084178988988 191433600.0
4.0 200 1 68.128 0.17993497395219255 170625600.0
4.0 200 2 68.128 0.1765130567257337 191433600.0
4.0 200 3 68.128 0.17490806717174034 199756800.0
4.0 200 4 68.128 0.17501645407614613 195595200.0
5.0 100 0 6.048000000000002 0.1013512395296362 199756800.0
5.0 100 1 6.048000000000002 0.09773658781914268 162302400.0
5.0 100 2 6.048000000000002 0.09532021176234023 158140800.0
5.0 100 3 6.048000000000002 0.09552938910471565 158140800.0
5.0 100 4 6.048000000000002 0.09641936465764706 191433600.0
5.0 150 0 54.208 0.11300485674214034 112363200.0
5.0 150 1 54.208 0.1196153104054477 166464000.0
5.0 150 2 54.208 0.1184448215386904 170625600.0
5.0 150 3 54.208 0.11707489899861845 174787200.0
5.0 150 4 54.208 0.11496345958827853 174787200.0
5.0 200 0 10.816000000000003 0.15269594589954405 345412800.0
5.0 200 1 10.816000000000003 0.138572012408537 291312000.0
5.0 200 2 10.816000000000003 0.14381773739904574 258019200.0
5.0 200 3 10.816000000000003 0.14237451483675462 270504000.0
5.0 200 4 10.816000000000003 0.14058946563579566 245534400.0
6.0 100 0 2.176000000000002 0.0836178889862717 199756800.0
6.0 100 1 2.176000000000002 0.08163200568806056 129009600.0
6.0 100 2 2.176000000000002 0.07684300821674056 112363200.0
6.0 100 3 2.176000000000002 0.07472707788153632 133171200.0
6.0 100 4 2.176000000000002 0.07525918294054779 120686400.0
6.0 150 0 2.3359999999999985 0.10034056234994931 129009600.0
6.0 150 1 2.3359999999999985 0.09215643009644192 137332800.0
6.0 150 2 2.3359999999999985 0.08704591604550704 104040000.0
6.0 150 3 2.3359999999999985 0.08251002129265794 129009600.0
6.0 150 4 2.3359999999999985 0.08156144228792034 133171200.0
6.0 200 0 4.992000000000004 0.11039337272334604 183110400.0
6.0 200 1 4.992000000000004 0.09452682889478614 216403200.0
6.0 200 2 4.992000000000004 0.0906260653878933 220564800.0
6.0 200 3 4.992000000000004 0.09478023594003382 187272000.0
6.0 200 4 4.992000000000004 0.09655313615412642 178948800.0
7.0 100 0 1.823999999999998 0.08967622087922855 153979200.0
7.0 100 1 1.823999999999998 0.08357421109972679 162302400.0
7.0 100 2 1.823999999999998 0.07723770314636624 158140800.0
7.0 100 3 1.823999999999998 0.0726194308727508 99878400.0
7.0 100 4 1.823999999999998 0.07226214575633966 153979200.0
7.0 150 0 2.8160000000000025 0.08679223435197936 141494400.0
7.0 150 1 2.8160000000000025 0.08378930516524985 137332800.0
7.0 150 2 2.8160000000000025 0.08073258062260663 141494400.0
7.0 150 3 2.8160000000000025 0.08142532600878327 120686400.0
7.0 150 4 2.8160000000000025 0.08004915278091773 149817600.0
7.0 200 0 5.343999999999994 0.07797460207353879 378705600.0
7.0 200 1 5.343999999999994 0.07937785497201166 220564800.0
7.0 200 2 5.343999999999994 0.08211343146405259 187272000.0
7.0 200 3 5.343999999999994 0.08608787252465855 183110400.0
7.0 200 4 5.343999999999994 0.08618001843536016 187272000.0
100.0 100 0 0.7680000000000007 0.037547214932579176 66585600.0
100.0 100 1 0.7680000000000007 0.03797546557241327 54100800.0
100.0 100 2 0.7680000000000007 0.03582011183934031 91555200.0
100.0 100 3 0.7680000000000007 0.03582011183934031 91555200.0
100.0 100 4 0.7680000000000007 0.03582011183934031 91555200.0
100.0 150 0 0.38400000000000034 0.03303190486569019 79070400.0
100.0 150 1 0.38400000000000034 0.039559102689307846 116524800.0
100.0 150 2 0.38400000000000034 0.036698568584656366 79070400.0
100.0 150 3 0.38400000000000034 0.036698568584656366 79070400.0
100.0 150 4 0.38400000000000034 0.036698568584656366 79070400.0
100.0 200 0 0.7360000000000042 0.03743032682147629 95716800.0
100.0 200 1 0.7360000000000042 0.03710390664095131 70747200.0
100.0 200 2 0.7360000000000042 0.03790306736661431 87393600.0
100.0 200 3 0.7360000000000042 0.03790306736661431 87393600.0
100.0 200 4 0.7360000000000042 0.03790306736661431 87393600.0
