BreakProb BreakDist Tau DeltaPhi
0.01 1.2 24480.0 0.1755559519589061
0.01 1.4 36720.0 0.15708517180017262
0.01 1.6 16320.0 0.10016080657166138
0.01 1.8 16320.0 0.07796090905603703
0.003 1.2 75480.0 0.15116076870697082
0.003 1.4 32640.0 0.10789132095726972
0.003 1.6 22440.0 0.061435362832582885
0.003 1.8 0.0 nan
0.001 1.2 77520.0 0.09779865876767069
0.001 1.4 18360.0 0.044004019438901976
0.001 1.6 12240.0 0.03561037434063341
0.001 1.8 8160.0 0.044055371023179024
0.0003 1.2 83640.0 0.10318711916163625
0.0003 1.4 18360.0 0.05587077911841931
0.0003 1.6 8160.0 0.024881308239357747
0.0003 1.8 138720.0 0.01580665296829764
0.0001 1.2 53040.0 0.023097228762523292
0.0001 1.4 44880.0 0.031674198195210446
0.0001 1.6 24480.0 0.028592152644273172
0.0001 1.8 6120.0 0.03305156745570259
