Ebond Strain Seed PhiINf DeltaPhi tau
3.0 100 0 0.357110361489908 0.08895796561553593 87393600.0
3.0 100 1 0.3547564807154739 0.0906516459816269 87393600.0
3.0 100 2 0.3556391359474689 0.0943602533056156 87393600.0
3.0 100 3 0.3558054904578246 0.09416814698896536 87393600.0
3.0 100 4 0.3552041657107583 0.09402621091501862 87393600.0
3.0 150 0 0.3500733403181538 0.13551317508844768 91555200.0
3.0 150 1 0.35241534075325853 0.13008290436554032 95716800.0
3.0 150 2 0.3525650825023739 0.1341068973184824 95716800.0
3.0 150 3 0.35229008025832176 0.1369540430830385 99878400.0
3.0 150 4 0.352544746793667 0.1388141339853815 99878400.0
3.0 200 0 0.3551670908403461 0.16461820032671465 79070400.0
3.0 200 1 0.35183950823120563 0.16383235326993922 79070400.0
3.0 200 2 0.3523995752247596 0.165471224346325 79070400.0
3.0 200 3 0.3537993338288675 0.1621906554954916 79070400.0
3.0 200 4 0.35356960442895413 0.16051047781500827 79070400.0
4.0 100 0 0.3817047793184352 0.10012183930455831 191433600.0
4.0 100 1 0.37966517412552236 0.1076037359279306 124848000.0
4.0 100 2 0.38184150726276794 0.1095952595695146 124848000.0
4.0 100 3 0.3832529418487449 0.1141308287199142 124848000.0
4.0 100 4 0.38194973060111975 0.11423859077023901 133171200.0
4.0 150 0 0.3906352623966741 0.16156671120198507 145656000.0
4.0 150 1 0.3875835030085566 0.16146104658453886 212241600.0
4.0 150 2 0.3853769210251811 0.15871443766703025 195595200.0
4.0 150 3 0.37968059806012383 0.16083871478107153 203918400.0
4.0 150 4 0.38144992432638075 0.15762256310268047 195595200.0
4.0 200 0 0.39611922067467686 0.17582084178988988 191433600.0
4.0 200 1 0.3952983243480868 0.17993497395219255 170625600.0
4.0 200 2 0.39753963457505126 0.1765130567257337 191433600.0
4.0 200 3 0.3998411858260432 0.17490806717174034 199756800.0
4.0 200 4 0.3991437549780564 0.17501645407614613 195595200.0
5.0 100 0 0.40116270429390744 0.1013512395296362 199756800.0
5.0 100 1 0.4135152910493061 0.09773658781914268 162302400.0
5.0 100 2 0.4148763902238291 0.09532021176234023 158140800.0
5.0 100 3 0.4146357592344878 0.09552938910471565 158140800.0
5.0 100 4 0.4128994910827218 0.09641936465764706 191433600.0
5.0 150 0 0.43719896988404117 0.11300485674214034 112363200.0
5.0 150 1 0.43695462811899366 0.1196153104054477 166464000.0
5.0 150 2 0.4406731785996326 0.1184448215386904 170625600.0
5.0 150 3 0.4406349860027813 0.11707489899861845 174787200.0
5.0 150 4 0.44413235353452957 0.11496345958827853 174787200.0
5.0 200 0 0.4549763522074106 0.15269594589954405 345412800.0
5.0 200 1 0.4646085267623996 0.138572012408537 291312000.0
5.0 200 2 0.4578548876824223 0.14381773739904574 258019200.0
5.0 200 3 0.4560558190811583 0.14237451483675462 270504000.0
5.0 200 4 0.4613539481882697 0.14058946563579566 245534400.0
6.0 100 0 0.43625282288140105 0.0836178889862717 199756800.0
6.0 100 1 0.43987982449060264 0.08163200568806056 129009600.0
